VIN	customer	service_writer	start_date	completion_date	odometer	labor_cost	repair_desc
0VWWXBNXE6N897485	52-9011162	user33	11/22/2020	11/22/2020	310382	10.07	add knee airbags; configure audio remote control; 
0VWWXBNXE6N897485	A0965866036	user12	4/2/2021	4/21/2021	1643847	130.87	install smoked glass; replace water pump; 
0VWWXBNXE6N897485	B2503869534	user15	4/24/2021	6/30/2021	1647703	231.54	configure audio remote control; replace steering column lock; 
0VWWXBNXE6N897485	C8180681803	user30	8/26/2021	9/4/2021	2267138	30.2	install active pedestrian protection system; replace radiator hoses; 
0VWWXBNXE6N897485	B4747383483	user30	9/21/2021	9/24/2021	2440216	20.13	refurbish power steering; reduce carbon footprint; 
0WPI14P1N3Y139809	B9153577327	user17	6/7/2021	6/8/2021	1457248	85.13	change memory settings of the onboard computer; reduce blind spot; 
0WPI14P1N3Y139809	D7871290693	user13	6/24/2021	7/29/2021	1545719	808.72	repair direct injection system; replace radiator hoses; 
0YQVT1ME4G3999928	B3114961337	user15	6/7/2021	6/11/2021	105444	54.29	fix ventilated seats; 
0YQVT1ME4G3999928	D3516184517	user13	7/12/2021	8/1/2021	189834	195.46	configure audio remote control; fix deceleration system; 
0YQVT1ME4G3999928	C4785358885	user29	8/2/2021	8/6/2021	191508	54.29	change purge valve; 
0YQVT1ME4G3999928	C5232024518	user12	8/8/2021	8/8/2021	208823	10.86	change timing belt; 
0YQVT1ME4G3999928	D6887650752	user33	8/18/2021	9/10/2021	305853	217.18	replace tail lights; configure audio remote control; 
15G3KHMPQ6Q659826	A8857188903	user33	12/12/2020	4/11/2021	58046	1946.11	fix a-pillar; 
15G3KHMPQ6Q659826	C9607630052	user13	5/3/2021	7/17/2021	224875	1500.13	remove oversteer; replace stabilizer bar; 
15G3KHMPQ6Q659826	C8565047824	user13	7/30/2021	8/11/2021	370157	445.98	adjust block heater; fix solar sunroof; 
15G3KHMPQ6Q659826	C7749249695	user29	8/14/2021	8/25/2021	387753	445.98	replace stabilizer bar; fix a-pillar; 
15G3KHMPQ6Q659826	A2150826458	user30	8/31/2021	9/7/2021	444599	162.18	replace ace filter; replace crankcase ventilation filter; 
1DQL1LHOWDJ517215	B2456071697	user12	1/26/2021	2/3/2021	47109	64.23	fix broken tow hooks; replace water pump; 
1DQL1LHOWDJ517215	17-6105195	user13	4/4/2021	4/9/2021	264799	38.54	adjust running boards; 
1DQL1LHOWDJ517215	D1263382492	user15	5/20/2021	6/1/2021	720210	12.85	install roof spoiler; change steering rack; 
1DQL1LHOWDJ517215	C6563700744	user29	7/28/2021	7/30/2021	1266546	25.69	repair seatbelt force limiters; reduce carbon footprint; 
1DQL1LHOWDJ517215	A0965866036	user12	8/1/2021	8/4/2021	1271662	25.69	install intelligent alternator; replace fuel filter; 
1EF7NFU0EUT973245	D1263382492	user17	11/13/2020	12/9/2020	73094	372.7	replace radiator core & ac condenser; replace radiator hoses; 
1EF7NFU0EUT973245	B8560719297	user12	12/13/2020	2/1/2021	109188	807.51	fix steering damper; change oil filter; 
1EF7NFU0EUT973245	B0529778191	user13	2/8/2021	2/11/2021	179889	62.12	improve engine performance; upgrade navigation system; 
1EF7NFU0EUT973245	A0536865675	user17	2/18/2021	3/7/2021	259068	248.46	upgrade navigation system; replace radiator hoses; 
1EF7NFU0EUT973245	A0943466017	user30	3/21/2021	3/28/2021	348692	31.06	fix rear defroster; 
1EF7NFU0EUT973245	C7749249695	user12	4/11/2021	4/17/2021	436154	186.35	fix rear hvac; fix rear defroster; 
1EF7NFU0EUT973245	35-7670320	user33	4/19/2021	4/30/2021	459703	186.35	adjust turn signals; refurbish power steering; 
1EF7NFU0EUT973245	A9824759625	user13	5/22/2021	9/8/2021	523678	2702.04	fix nvh dampening system; 
1FU8E0GMYMW270793	C9468553584	user12	5/9/2020	5/10/2020	61043	26.54	configure audio remote control; adjust ignition timing; 
1FU8E0GMYMW270793	17-6105195	user13	7/28/2020	9/5/2020	785070	345.08	fix sunroof; adjust regenerative braking; 
1FU8E0GMYMW270793	D0751253658	roland	9/7/2020	9/21/2020	798566	318.54	add knee airbags; replace brake pedal spring; 
1FU8E0GMYMW270793	D8805924960	user30	10/13/2020	10/21/2020	965804	238.9	install dusk-sensing headlights; adjust regenerative braking; 
1FU8E0GMYMW270793	C5684393032	user17	10/23/2020	11/8/2020	970370	212.36	change oil filter; replace liftgate window; 
1FU8E0GMYMW270793	C9468553584	user33	11/16/2020	12/11/2020	978184	132.72	install anti-theft alarm; change brake linings; 
1FU8E0GMYMW270793	D8053038202	user15	2/22/2021	8/9/2021	1619087	2681.03	fix a-pillar; adjust block heater; 
1NGZ4FLKC0Y272420	A7135730876	roland	6/8/2021	6/9/2021	72873	11.36	check drive axle boots; adjust retractable mirrors; 
1NGZ4FLKC0Y272420	D3600877411	user12	6/15/2021	6/19/2021	76596	45.42	replace ace filter; replace stabilizer bar; 
1NGZ4FLKC0Y272420	A2150826458	user13	6/25/2021	7/5/2021	119666	22.71	reduce carbon footprint; install turbocharger; 
1NGZ4FLKC0Y272420	C8363248808	user12	7/16/2021	7/20/2021	143465	11.36	prevent fuel pump shutoff; repair direct injection system; 
1NGZ4FLKC0Y272420	C9468553584	user17	7/25/2021	7/27/2021	202774	11.36	fix external temperature display; install curtain airbags; 
1NGZ4FLKC0Y272420	B6287650227	user17	8/4/2021	8/11/2021	250390	22.71	install active pedestrian protection system; attach spoiler; 
1NGZ4FLKC0Y272420	A0923389692	user15	8/16/2021	8/27/2021	309380	79.49	improve cylinder configuration; 
1XHDZEREQ7I052484	A1100965794	roland	4/22/2021	9/22/2021	6363	5458.27	change suspension fluid; 
20DS0RGMDXW132327	D3516713339	user17	7/7/2021	7/8/2021	208311	36.02	adjust seat belts tension; 
20DS0RGMDXW132327	B2831352575	roland	7/19/2021	7/29/2021	303681	18.01	add heated windshield; 
20DS0RGMDXW132327	D5493718870	user13	8/21/2021	9/20/2021	346199	396.22	adjust accelerator pedal linkage; fix ventilated seats; 
21SSFP0O1TZ975822	A2549561818	user30	5/22/2021	5/23/2021	57107	50.55	install optional equipment; add knee airbags; 
21SSFP0O1TZ975822	A5224016442	user12	5/28/2021	6/4/2021	98291	126.37	adjust traction control system; improve cylinder configuration; 
21SSFP0O1TZ975822	B4222493197	user29	6/12/2021	6/16/2021	130801	101.1	install on-board diagnosis system; 
21SSFP0O1TZ975822	D6534556524	roland	6/18/2021	7/5/2021	146669	50.55	adjust seat belts tension; fix rear defroster; 
21SSFP0O1TZ975822	64-4494473	user12	7/18/2021	7/21/2021	229387	50.55	change air conditioner refrigerant; replace catalytic converter; 
21SSFP0O1TZ975822	64-7173397	roland	7/22/2021	7/25/2021	239563	25.27	replace diverter valve; install vanity mirrors; 
21SSFP0O1TZ975822	C5684393032	user13	7/26/2021	7/26/2021	250119	25.27	change timing belt; repair seatbelt force limiters; 
21SSFP0O1TZ975822	C5232024518	user29	8/1/2021	9/10/2021	318440	25.27	replace diverter valve; change speaker configuration; 
21SSFP0O1TZ975822	56-2291887	user17	9/21/2021	9/22/2021	376830	50.55	fix broken tow hooks; 
222BHPCRR2U716446	64-4494473	user30	1/5/2021	2/12/2021	187968	772.04	replace fuel filter; refurbish power steering; 
222BHPCRR2U716446	64-4494473	user30	2/21/2021	2/22/2021	200574	22.06	install active pedestrian protection system; install anti-theft alarm; 
222BHPCRR2U716446	B6594307920	user12	4/30/2021	6/24/2021	386293	948.51	change speaker configuration; repair seatbelt force limiters; 
222BHPCRR2U716446	A3706458629	user30	7/30/2021	8/17/2021	458445	374.99	fix ventilated seats; replace radiator hoses; 
23XU4U8IFDL261229	B3493541660	user12	3/11/2021	3/12/2021	65930	18.12	fix ventilated seats; remove oversteer; 
23XU4U8IFDL261229	B6594307920	user30	3/26/2021	4/5/2021	135300	199.33	replace steering column lock; fix solar sunroof; 
23XU4U8IFDL261229	C7966010586	user12	4/8/2021	4/19/2021	169393	90.6	attach spoiler; fix ventilated seats; 
23XU4U8IFDL261229	C4721215300	user30	5/5/2021	5/26/2021	234023	344.29	fix nvh dampening system; adjust retractable mirrors; 
23XU4U8IFDL261229	B4329886405	user17	6/11/2021	7/4/2021	297905	362.42	repair cooled seats; 
23XU4U8IFDL261229	B7250129830	user15	7/31/2021	8/10/2021	356221	108.72	fix cylinder head bolts; install active pedestrian protection system; 
23XU4U8IFDL261229	D6887650752	user33	9/14/2021	9/17/2021	370976	36.24	fix rear hvac; adjust traction control system; 
26OCQWEQYJV636712	B2456071697	user17	6/23/2021	6/24/2021	42254	25.73	fix broken tow hooks; refurbish power steering; 
26OCQWEQYJV636712	A9824759625	user30	7/6/2021	7/10/2021	81002	102.94	install separate rear audio; remove oversteer; 
26OCQWEQYJV636712	94-3886618	user30	7/15/2021	8/23/2021	93950	617.63	fix cylinder head bolts; configure audio remote control; 
26OCQWEQYJV636712	D8356291718	user15	9/2/2021	9/16/2021	100839	128.67	upgrade navigation system; repair cooled seats; 
26OCQWEQYJV636712	A7476663773	user13	9/20/2021	9/26/2021	114817	51.47	add knee airbags; attach seat extension; 
26RIMRHVSQK619881	B5647927687	user29	12/12/2020	12/26/2020	97994	65.9	install anti-theft alarm; change purge valve; 
26RIMRHVSQK619881	D5106706321	user17	12/27/2020	12/30/2020	99036	65.9	adjust retractable mirrors; replace crankcase ventilation filter; 
26RIMRHVSQK619881	10-0374336	user15	1/2/2021	1/22/2021	104860	98.85	adjust retractable mirrors; adjust hybrid performance; 
26RIMRHVSQK619881	B7649567338	roland	3/5/2021	4/1/2021	393766	395.41	replace brake pedal spring; adjust seat belts tension; 
26RIMRHVSQK619881	D5515926273	roland	4/18/2021	5/18/2021	564054	395.41	install roof spoiler; change coolant; 
26RIMRHVSQK619881	C2665896847	user17	6/23/2021	7/1/2021	785525	131.8	set up satellite radio; 
26RIMRHVSQK619881	B9701873535	user29	7/7/2021	7/19/2021	821654	164.75	adjust ignition timing; configure universal remote control; 
26RIMRHVSQK619881	A2781606676	user13	7/31/2021	8/20/2021	864245	32.95	change coolant; replace radiator hoses; 
26RIMRHVSQK619881	D2507219873	user30	8/31/2021	9/24/2021	907075	214.18	replace tail lights; install on-board diagnosis system; 
280ECEXOEHP375800	C4721215300	user12	5/8/2021	7/5/2021	5810	211.34	replace liftgate window; install anti-theft alarm; 
280ECEXOEHP375800	D9854901324	roland	7/7/2021	7/28/2021	26724	169.07	adjust turn signals; 
280ECEXOEHP375800	D2205967267	user15	7/31/2021	8/4/2021	43854	84.53	change oil filter; set up auto-delay headlights; 
280ECEXOEHP375800	B2503869534	user12	8/21/2021	8/27/2021	158158	63.4	replace serpentine belt; improve engine performance; 
2GJ51MZ0A1N199895	B4222493197	user12	2/22/2021	2/24/2021	28761	54.87	change suspension fluid; adjust hybrid performance; 
2GJ51MZ0A1N199895	C4721215300	user13	3/10/2021	3/23/2021	194279	246.9	install anti-theft alarm; change purge valve; 
2GJ51MZ0A1N199895	C7836526302	user13	6/11/2021	6/23/2021	1110095	54.87	replace radiator core & ac condenser; 
2GJ51MZ0A1N199895	D9622429189	user12	7/7/2021	7/17/2021	1261293	27.43	reconfigure service reminder light; add knee airbags; 
2GJ51MZ0A1N199895	C0659557688	user33	7/30/2021	7/30/2021	1341336	27.43	replace tail lights; 
2GJ51MZ0A1N199895	A7394786391	user13	7/31/2021	9/26/2021	1348411	1344.22	fix nvh dampening system; attach spoiler; 
2H6ZZF8OOXC822443	C9468553584	user29	8/5/2020	9/25/2020	472034	909.92	change pcv filter/pcv valve; 
2H6ZZF8OOXC822443	10-0374336	user17	11/17/2020	1/3/2021	947457	478.91	repair direct injection system; install turbocharger; 
2H6ZZF8OOXC822443	C8565047824	user12	1/25/2021	6/10/2021	1013067	5315.86	adjust turn signals; repair cooled seats; 
2JS82H11FSA911163	A9824759625	user29	4/29/2021	5/10/2021	156810	297.32	fix external temperature display; set up auto-delay headlights; 
2JS82H11FSA911163	61-1100139	roland	5/23/2021	6/4/2021	179010	42.47	install intelligent alternator; reduce carbon footprint; 
2JS82H11FSA911163	B6287650227	user13	6/8/2021	6/21/2021	179772	552.17	adjust running boards; replace stabilizer bar; 
2JS82H11FSA911163	85-3032731	user12	7/2/2021	7/4/2021	270710	84.95	adjust turn signals; make polarization coating; 
2JS82H11FSA911163	45-6711652	user30	7/14/2021	7/18/2021	283305	42.47	change oil filter; configure audio remote control; 
2JS82H11FSA911163	D3677460785	user33	9/5/2021	9/14/2021	408987	84.95	fix rear defroster; upgrade navigation system; 
2JS82H11FSA911163	07-6913915	user13	9/18/2021	9/18/2021	412289	42.47	change purge valve; 
2NMR3SMFNAZ813043	D0751253658	user33	6/30/2021	7/9/2021	146461	274.33	set up gyro sensor; 
2NMR3SMFNAZ813043	D1263382492	user15	7/17/2021	8/29/2021	194614	1152.19	install curtain airbags; fix nvh dampening system; 
2UL7JBUREY0725461	38-5109013	user30	6/28/2021	7/2/2021	193819	129.59	replace stabilizer bar; install dusk-sensing headlights; 
2UL7JBUREY0725461	D9983832656	roland	7/3/2021	7/4/2021	199212	43.2	fix power activated release; install dusk-sensing headlights; 
2UL7JBUREY0725461	24-1651361	user17	7/6/2021	8/3/2021	210660	734.33	repair cooled seats; fix solar sunroof; 
2UL7JBUREY0725461	B9153577327	roland	8/17/2021	8/20/2021	345788	172.78	set up gyro sensor; install intelligent alternator; 
2UL7JBUREY0725461	D5191373192	user13	9/3/2021	9/12/2021	374808	431.96	adjust accelerator pedal linkage; 
2UL7JBUREY0725461	C1301696678	user30	9/13/2021	9/26/2021	377158	215.98	fix external temperature display; correct abs; 
2W7BN5RJGCI094698	37-8167653	user29	7/6/2021	8/4/2021	81617	1663.44	adjust traction control system; 
2W7BN5RJGCI094698	B4901838775	user33	8/26/2021	8/30/2021	108046	237.63	replace timing belt tensioner; repair direct injection system; 
2W7BN5RJGCI094698	B0529778191	user17	9/21/2021	9/22/2021	312562	237.63	fix power activated release; reduce carbon footprint; 
2ZGQSMRVMSR266772	D8119514417	user17	7/1/2021	7/4/2021	57081	47.04	change suspension fluid; 
2ZGQSMRVMSR266772	B2391029488	user15	7/8/2021	7/11/2021	89132	11.76	set up auto-delay headlights; adjust seat belts tension; 
2ZGQSMRVMSR266772	A0536865675	user33	7/12/2021	7/19/2021	96854	23.52	replace timing belt tensioner; reduce fuel consumption; 
2ZGQSMRVMSR266772	B2503869534	user13	8/8/2021	8/16/2021	123868	105.83	change oil filter; replace tail lights; 
2ZGQSMRVMSR266772	D8549360259	user29	8/17/2021	8/28/2021	134789	11.76	fix power activated release; install dusk-sensing headlights; 
2ZGQSMRVMSR266772	D0979557056	roland	9/3/2021	9/5/2021	140972	11.76	reduce carbon footprint; repair cooled seats; 
2ZGQSMRVMSR266772	C8387651854	user17	9/25/2021	9/26/2021	279931	11.76	replace liftgate window; repair seatbelt force limiters; 
36GPKZLLJM1116960	D8269311874	user13	5/16/2020	5/29/2020	371260	337.24	adjust accelerator pedal linkage; adjust regenerative braking; 
36GPKZLLJM1116960	B3613796899	user29	6/20/2020	7/11/2020	498830	1011.72	replace timing belt tensioner; install intelligent alternator; 
36GPKZLLJM1116960	D8269311874	user30	7/26/2020	8/18/2020	558771	963.54	adjust reverse tilt mirrors; change steering rack; 
36GPKZLLJM1116960	C2477021110	user29	9/23/2020	10/15/2020	750737	963.54	adjust climate control; set up auto-delay headlights; 
36GPKZLLJM1116960	A6562833622	user29	11/20/2020	1/4/2021	913753	1927.08	fix sunroof; 
36GPKZLLJM1116960	B3135098307	user13	2/6/2021	4/22/2021	995272	3661.45	set up satellite radio; fix solar sunroof; 
36GPKZLLJM1116960	D4535340558	user13	4/29/2021	5/10/2021	1007036	240.88	improve engine performance; adjust adaptive cruise control; 
36GPKZLLJM1116960	D9868570966	roland	5/30/2021	6/15/2021	1125682	529.95	replace brake pedal spring; 
36GPKZLLJM1116960	D8053038202	user15	8/23/2021	9/17/2021	1280070	1059.89	add heated windshield; install curtain airbags; 
36HU6JXKV0B908236	D3600877411	user13	7/30/2020	8/17/2020	94929	635.58	change air conditioner refrigerant; fix broken tow hooks; 
36HU6JXKV0B908236	D6887650752	user33	9/5/2020	11/4/2020	277477	476.69	adjust hybrid performance; replace stabilizer bar; 
36HU6JXKV0B908236	C8349669264	user17	1/8/2021	1/10/2021	499471	119.17	fix nvh dampening system; configure universal remote control; 
36HU6JXKV0B908236	B4747383483	user29	2/10/2021	2/13/2021	827110	39.72	adjust block heater; replace tail lights; 
3856NH1QBEC536316	C5684393032	user17	3/16/2020	7/1/2020	231571	893.1	install dusk-sensing headlights; make polarization coating; 
3856NH1QBEC536316	48-1769205	roland	7/30/2020	8/4/2020	571851	19.85	install dusk-sensing headlights; install roof spoiler; 
3856NH1QBEC536316	B8267603424	user17	8/26/2020	9/19/2020	637483	59.54	adjust climate control; fix cylinder head bolts; 
3856NH1QBEC536316	B8118245955	user15	12/2/2020	1/13/2021	1131833	59.54	fix cylinder head bolts; change wheel cylinders; 
3856NH1QBEC536316	C0840217146	user12	2/15/2021	4/11/2021	1236375	19.85	check drive axle boots; 
3856NH1QBEC536316	B0529778191	user13	5/23/2021	6/7/2021	1504499	238.16	replace timing belt tensioner; adjust climate control; 
3856NH1QBEC536316	A9499931848	user33	7/13/2021	8/16/2021	1697779	476.32	fix air filter restriction indicator; replace crankcase ventilation filter; 
3A03KTHXJ6O098081	94-3886618	user29	6/15/2021	6/24/2021	245987	134.76	repair direct injection system; improve cylinder configuration; 
3A03KTHXJ6O098081	B5240692276	user17	6/28/2021	6/30/2021	293623	101.07	repair shiftable automatic transmission; repair seatbelt force limiters; 
3A03KTHXJ6O098081	A0965866036	user33	7/6/2021	7/19/2021	310381	370.6	change purge valve; change suspension fluid; 
3A03KTHXJ6O098081	56-2291887	user13	7/26/2021	7/27/2021	341860	67.38	replace brake pedal spring; 
3A03KTHXJ6O098081	C1874682232	user29	8/18/2021	8/24/2021	394252	168.45	attach seat extension; 
3A03KTHXJ6O098081	48-1769205	user17	8/26/2021	8/28/2021	404610	101.07	install dusk-sensing headlights; 
3A03KTHXJ6O098081	C5564885117	user12	9/1/2021	9/4/2021	438350	101.07	configure audio remote control; install curtain airbags; 
3A03KTHXJ6O098081	A4114790699	user30	9/5/2021	9/8/2021	449653	134.76	install on-board diagnosis system; 
3A03KTHXJ6O098081	C7966010586	user29	9/11/2021	9/18/2021	483378	202.15	adjust block heater; 
3A3OOF2JN5W951740	48-1769205	user17	7/8/2021	8/9/2021	85496	17.63	set up auto-delay headlights; adjust ignition timing; 
3A3OOF2JN5W951740	C6390913308	user13	8/21/2021	8/27/2021	155109	70.52	reduce blind spot; fix rear hvac; 
3BZD4P4QMXX657876	A7394786391	roland	5/3/2020	11/5/2020	255622	1431.14	install parking sensors; attach spoiler; 
3BZD4P4QMXX657876	C1874682232	user13	11/25/2020	12/9/2020	441302	130.1	adjust retractable mirrors; upgrade navigation system; 
3BZD4P4QMXX657876	D9983832656	user15	12/29/2020	7/12/2021	553030	3339.33	reconfigure service reminder light; fix external temperature display; 
3C8P2TNWAH7477883	D1203722082	roland	4/4/2020	5/16/2020	182107	601.15	adjust ignition timing; set up gyro sensor; 
3C8P2TNWAH7477883	A1100965794	user15	7/19/2020	10/11/2020	465736	2050.97	replace ace filter; make polarization coating; 
3C8P2TNWAH7477883	B7250129830	user15	1/27/2021	3/17/2021	510540	1131.57	replace radiator hoses; replace water pump; 
3C8P2TNWAH7477883	D3677460785	user33	4/17/2021	7/23/2021	635054	2333.86	fix air filter restriction indicator; 
3J73EOBU1AT381615	D1938774729	user17	9/2/2021	9/15/2021	665851	859	adjust low fuel warning indicator; install on-board diagnosis system; 
3JLCARWCAYY553033	B5647927687	user30	6/23/2021	6/28/2021	65532	22.64	replace timing belt tensioner; 
3JLCARWCAYY553033	C3623479361	user17	6/29/2021	7/12/2021	72139	147.14	replace radiator hoses; adjust climate control; 
3JLCARWCAYY553033	A4114790699	user29	7/27/2021	7/30/2021	156689	11.32	prevent fuel pump shutoff; change timing belt; 
3JLCARWCAYY553033	C5820441797	user15	8/16/2021	8/16/2021	344156	11.32	adjust adaptive cruise control; install anti-theft alarm; 
3JLCARWCAYY553033	B7649567338	user30	8/21/2021	8/22/2021	393205	22.64	adjust ignition timing; reduce blind spot; 
3JLCARWCAYY553033	C1301696678	user15	8/26/2021	9/1/2021	406438	67.91	repair shiftable automatic transmission; add heated windshield; 
